Tarih,Cari Islemler Hesabi,Finans Hesabi,Net Hata ve Noksan
2011-Q1,-21181.0,-18097.0,3096.0
2011-Q2,-22681.0,-18726.0,3977.0
2011-Q3,-14829.0,-10363.0,4459.0
2011-Q4,-15712.0,-15153.0,557.0
2012-Q1,-16107.0,-9877.0,6248.0
2012-Q2,-13021.0,-14752.0,-1726.0
2012-Q3,-3341.0,-5703.0,-2329.0
2012-Q4,-9327.0,-17069.0,-7740.0
2013-Q1,-14706.0,-14208.0,515.0
2013-Q2,-15793.0,-19901.0,-4071.0
2013-Q3,-5356.0,-8247.0,-2849.0
2013-Q4,-13473.0,-12630.0,843.0
2014-Q1,-10262.0,-5670.0,4613.0
2014-Q2,-9574.0,-12636.0,-3059.0
2014-Q3,-482.0,-5292.0,-4767.0
2014-Q4,-11794.0,-15947.0,-4150.0
2015-Q1,-8554.0,-10545.0,-1990.0
2015-Q2,-8790.0,-4396.0,4394.0
2015-Q3,2360.0,3061.0,706.0
2015-Q4,-6368.0,-6244.0,139.0
2016-Q1,-6604.0,-7056.0,-467.0
2016-Q2,-9155.0,-11261.0,-2106.0
2016-Q3,-784.0,-2773.0,-1996.0
2016-Q4,-5622.0,4366.0,9988.0
2017-Q1,-6985.0,-12368.0,-5371.0
2017-Q2,-10477.0,-12102.0,-1636.0
2017-Q3,-4758.0,-12643.0,-7902.0
2017-Q4,-12921.0,-12552.0,370.0
2018-Q1,-15422.0,-10561.0,4825.0
2018-Q2,-12973.0,-8150.0,4810.0
2018-Q3,7409.0,10791.0,3352.0
2018-Q4,6378.0,9168.0,2789.0
2019-Q1,-305.0,-2104.0,-1825.0
2019-Q2,1434.0,-63.0,-1489.0
2019-Q3,12723.0,7246.0,-5497.0
2019-Q4,1161.0,248.0,-909.0
2020-Q1,-6690.0,-12532.0,-5829.0
2020-Q2,-11110.0,-13840.0,-2723.0
2020-Q3,-6825.0,-9415.0,-2585.0
2020-Q4,-6399.0,-2959.0,3451.0
2021-Q1,-6840.0,-2827.0,4034.0
2021-Q2,-5062.0,-1340.0,3720.0
2021-Q3,6508.0,14657.0,8193.0
2021-Q4,-1674.0,-7131.0,-5457.0
2022-Q1,-17956.0,-10222.0,7737.0
2022-Q2,-11397.0,-3247.0,8161.0
2022-Q3,-6448.0,-287.0,6170.0
2022-Q4,-10867.0,-5014.0,5865.0
2023-Q1,-23976.0,-23500.0,523.0
2023-Q2,-11193.0,-19257.0,-8027.0
2023-Q3,-2021.0,1312.0,3415.0
2023-Q4,-4631.0,-10455.0,-5786.0
2024-Q1,-9687.0,-17738.0,-8052.0
2024-Q2,-5140.0,-1587.0,3582.0
2024-Q3,8367.0,7226.0,-1058.0
2024-Q4,-6567.0,-11616.0,-5034.0
2025-Q1,-14178.0,-16375.0,-2217.0
2025-Q2,-11820.0,-15548.0,-3703.0
2025-Q3,6886.0,2946.0,-3777.0
2025-Q4,-11224.0,-20320.0,-9123.0
2026-Q1,-23604.0,-40234.0,-16556.0
2026-Q2,-7075.0,-9013.0,-1922.0
