date,value,change
2020-09-11,-10.58,
2020-09-18,-90.42,-79.84
2020-09-25,1.7,92.12
2020-10-02,419.55,417.85
2020-10-09,-174.52,-594.07
2020-10-16,-38.03,136.49
2020-10-23,20.9,58.93
2020-10-30,-32.74,-53.64
2020-11-06,-17.34,15.400000000000002
2020-11-13,211.09,228.43
2020-11-20,201.76,-9.330000000000013
2020-11-27,194.51,-7.25
2020-12-04,133.48,-61.03
2020-12-11,103.79,-29.689999999999984
2020-12-18,44.88,-58.910000000000004
2020-12-25,159.25,114.37
2021-01-01,-85.97,-245.22
2021-01-08,634.85,720.82
2021-01-15,-2.57,-637.4200000000001
2021-01-22,28.59,31.16
2021-01-29,413.98,385.39000000000004
2021-02-05,169.96,-244.02
2021-02-12,83.51,-86.45
2021-02-19,169.58,86.07000000000001
2021-02-26,106.79,-62.790000000000006
2021-03-05,-47.73,-154.52
2021-03-12,-146.76,-99.03
2021-03-19,460.35,607.11
2021-03-26,-1191.07,-1651.42
2021-04-02,-132.53,1058.54
2021-04-09,86.79,219.32
2021-04-16,5.48,-81.31
2021-04-23,-18.23,-23.71
2021-04-30,43.4,61.629999999999995
2021-05-07,13.01,-30.39
2021-05-14,-17.79,-30.799999999999997
2021-05-21,184.43,202.22
2021-05-28,-100.89,-285.32
2021-06-04,-56.7,44.19
2021-06-11,124.62,181.32
2021-06-18,123.97,-0.6500000000000057
2021-06-25,155.23,31.25999999999999
2021-07-02,88.81,-66.41999999999999
2021-07-09,6.98,-81.83
2021-07-16,60.96,53.980000000000004
2021-07-23,2.99,-57.97
2021-07-30,309.55,306.56
2021-08-06,107.89,-201.66000000000003
2021-08-13,-45.21,-153.1
2021-08-20,211.15,256.36
2021-08-27,60.43,-150.72
2021-09-03,41.79,-18.64
2021-09-10,325.14,283.34999999999997
2021-09-17,-12.29,-337.43
2021-09-24,-415.42,-403.13
2021-10-01,-201.07,214.35000000000002
2021-10-08,-10.55,190.51999999999998
2021-10-15,-155.34,-144.79
2021-10-22,-102.99,52.35000000000001
2021-10-29,-58.11,44.879999999999995
2021-11-05,37.66,95.77
2021-11-12,109.78,72.12
2021-11-19,-72.2,-181.98000000000002
2021-11-26,-105.36,-33.16
2021-12-03,-12.35,93.01
2021-12-10,-54.41,-42.059999999999995
2021-12-17,-95.28,-40.870000000000005
2021-12-24,-94.41,0.8700000000000045
2021-12-31,40.99,135.4
2022-01-07,-71.62,-112.61000000000001
2022-01-14,-76.28,-4.659999999999997
2022-01-21,14.73,91.01
2022-01-28,63.58,48.849999999999994
2022-02-04,35.53,-28.049999999999997
2022-02-11,1.43,-34.1
2022-02-18,-185.17,-186.6
2022-02-25,-421.41,-236.24000000000004
2022-03-04,-181.42,239.99000000000004
2022-03-11,-120.95,60.469999999999985
2022-03-18,-15.89,105.06
2022-03-25,-104.81,-88.92
2022-04-01,103.75,208.56
2022-04-08,-38.74,-142.49
2022-04-15,36.76,75.5
2022-04-22,-22.17,-58.93
2022-04-29,-23.93,-1.759999999999998
2022-05-06,-75.79,-51.86000000000001
2022-05-13,-298.11,-222.32
2022-05-20,-67.32,230.79000000000002
2022-05-27,-54.99,12.329999999999991
2022-06-03,-1.63,53.36
