date,value,change
2020-09-11,-30.24,
2020-09-18,2.57,32.809999999999995
2020-09-25,-101.89,-104.46
2020-10-02,131.22,233.11
2020-10-09,-91.33,-222.55
2020-10-16,-28.37,62.959999999999994
2020-10-23,-10.82,17.55
2020-10-30,-116.63,-105.81
2020-11-06,-21.99,94.64
2020-11-13,614.4,636.39
2020-11-20,389.64,-224.76
2020-11-27,231.71,-157.92999999999998
2020-12-04,-23.27,-254.98000000000002
2020-12-11,40.97,64.24
2020-12-18,244.04,203.07
2020-12-25,-18.79,-262.83
2021-01-01,90.68,109.47
2021-01-08,287.71,197.02999999999997
2021-01-15,31.41,-256.29999999999995
2021-01-22,-117.71,-149.12
2021-01-29,-493.75,-376.04
2021-02-05,-183.22,310.53
2021-02-12,-62.34,120.88
2021-02-19,-122.76,-60.42
2021-02-26,-117.61,5.150000000000006
2021-03-05,-10.13,107.48
2021-03-12,-117.62,-107.49000000000001
2021-03-19,60.38,178.0
2021-03-26,-813.92,-874.3
2021-04-02,-364.45,449.46999999999997
2021-04-09,-46.01,318.44
2021-04-16,-0.05,45.96
2021-04-23,104.48,104.53
2021-04-30,31.53,-72.95
2021-05-07,87.68,56.150000000000006
2021-05-14,51.7,-35.980000000000004
2021-05-21,51.02,-0.6799999999999997
2021-05-28,6.85,-44.17
2021-06-04,-93.79,-100.64
2021-06-11,33.54,127.33000000000001
2021-06-18,-3.19,-36.73
2021-06-25,-2.81,0.3799999999999999
2021-07-02,-37.9,-35.089999999999996
2021-07-09,54.2,92.1
2021-07-16,-61.99,-116.19
2021-07-23,0.0,61.99
2021-07-30,-51.81,-51.81
2021-08-06,168.0,219.81
2021-08-13,77.87,-90.13
2021-08-20,226.15,148.28
2021-08-27,43.14,-183.01
2021-09-03,98.81,55.67
2021-09-10,-52.7,-151.51
2021-09-17,65.24,117.94
2021-09-24,35.8,-29.439999999999998
2021-10-01,-92.8,-128.6
2021-10-08,-51.63,41.169999999999995
2021-10-15,69.48,121.11000000000001
2021-10-22,-103.03,-172.51
2021-10-29,24.39,127.42
2021-11-05,274.37,249.98000000000002
2021-11-12,479.62,205.25
2021-11-19,384.05,-95.57
2021-11-26,-64.52,-448.57
2021-12-03,-162.12,-97.60000000000001
2021-12-10,-104.23,57.89
2021-12-17,-69.12,35.11
2021-12-24,-569.78,-500.65999999999997
2021-12-31,-231.24,338.53999999999996
2022-01-07,-142.84,88.4
2022-01-14,-55.12,87.72
2022-01-21,-32.71,22.409999999999997
2022-01-28,-138.95,-106.23999999999998
2022-02-04,-81.93,57.01999999999998
2022-02-11,-24.46,57.470000000000006
2022-02-18,37.26,61.72
2022-02-25,-87.09,-124.35
2022-03-04,-309.32,-222.23
2022-03-11,-289.43,19.889999999999986
2022-03-18,-197.1,92.33000000000001
2022-03-25,18.79,215.89
2022-04-01,10.15,-8.639999999999999
2022-04-08,245.16,235.01
2022-04-15,26.87,-218.29
2022-04-22,-52.75,-79.62
2022-04-29,-110.02,-57.269999999999996
2022-05-06,-244.16,-134.14
2022-05-13,-766.87,-522.71
2022-05-20,-603.25,163.62
2022-05-27,-40.86,562.39
2022-06-03,130.13,170.99
2022-06-10,-316.07,-446.2
2022-06-17,-192.82,123.25
2022-06-24,-98.41,94.41
2022-07-01,-59.74,38.669999999999995
2022-07-08,-62.2,-2.460000000000001
2022-07-15,-37.42,24.78
2022-07-22,-76.55,-39.129999999999995
2022-07-29,-26.9,49.65
2022-08-05,88.02,114.91999999999999
2022-08-12,270.04,182.02000000000004
2022-08-19,366.2,96.15999999999997
2022-08-26,-32.0,-398.2
2022-09-02,97.95,129.95
2022-09-09,-13.48,-111.43
2022-09-16,-33.85,-20.37
2022-09-23,-204.16,-170.31
2022-09-30,-300.3,-96.14000000000001
2022-10-07,-136.35,163.95000000000002
2022-10-14,-169.23,-32.879999999999995
2022-10-21,-62.6,106.63
2022-10-28,-11.65,50.95
2022-11-04,38.11,49.76
2022-11-11,116.31,78.2
2022-11-18,56.48,-59.830000000000005
2022-11-25,24.23,-32.25
2022-12-02,339.75,315.52
2022-12-09,-321.52,-661.27
2022-12-16,-193.89,127.63
2022-12-23,-321.61,-127.72000000000003
2022-12-30,-53.45,268.16
2023-01-06,-351.87,-298.42
2023-01-13,67.61,419.48
2023-01-20,-334.89,-402.5
2023-01-27,22.9,357.78999999999996
2023-02-03,92.13,69.22999999999999
2023-02-10,130.53,38.400000000000006
2023-02-17,9.22,-121.31
2023-02-24,-260.77,-269.99
2023-03-03,136.89,397.65999999999997
2023-03-10,-53.52,-190.41
2023-03-17,-210.82,-157.29999999999998
2023-03-24,-113.03,97.78999999999999
2023-03-31,-60.92,52.11
2023-04-07,-74.72,-13.799999999999997
2023-04-14,179.01,253.73
2023-04-21,37.06,-141.95
2023-04-28,-178.42,-215.48
2023-05-05,-43.85,134.57
2023-05-12,-135.12,-91.27000000000001
2023-05-19,-27.57,107.55000000000001
2023-05-26,-378.54,-350.97
2023-06-02,-51.92,326.62
2023-06-09,261.8,313.72
2023-06-16,313.39,51.589999999999975
2023-06-23,398.43,85.04000000000002
2023-06-30,123.56,-274.87
2023-07-07,231.44,107.88
2023-07-14,152.53,-78.91
2023-07-21,128.37,-24.159999999999997
2023-07-28,178.9,50.53
2023-08-04,139.74,-39.16
2023-08-11,-101.03,-240.77
2023-08-18,-75.62,25.409999999999997
2023-08-25,-341.07,-265.45
2023-09-01,253.86,594.9300000000001
2023-09-08,-0.74,-254.60000000000002
2023-09-15,-200.76,-200.01999999999998
2023-09-22,74.39,275.15
2023-09-29,-98.28,-172.67000000000002
2023-10-06,-237.75,-139.47
2023-10-13,21.92,259.67
2023-10-20,-107.15,-129.07
2023-10-27,-67.94,39.21000000000001
2023-11-03,85.67,153.61
2023-11-10,7.27,-78.4
