date,value,change
2020-09-11,20899.13,
2020-09-18,21097.8,198.66999999999825
2020-09-25,20770.84,-326.9599999999991
2020-10-02,21097.05,326.2099999999991
2020-10-09,20490.47,-606.5799999999981
2020-10-16,21129.65,639.1800000000003
2020-10-23,21764.75,635.0999999999985
2020-10-30,19354.8,-2409.9500000000007
2020-11-06,19728.56,373.76000000000204
2020-11-13,23507.55,3778.989999999998
2020-11-20,25306.78,1799.2299999999996
2020-11-27,25059.6,-247.1800000000003
2020-12-04,25043.28,-16.31999999999971
2020-12-11,25317.07,273.7900000000009
2020-12-18,26540.1,1223.0299999999988
2020-12-25,27274.98,734.880000000001
2021-01-01,29168.13,1893.1500000000015
2021-01-08,30874.42,1706.2899999999972
2021-01-15,30534.54,-339.8799999999974
2021-01-22,30429.73,-104.81000000000131
2021-01-29,28920.0,-1509.7299999999996
2021-02-05,30814.9,1894.9000000000015
2021-02-12,31019.62,204.71999999999753
2021-02-19,31378.02,358.40000000000146
2021-02-26,28563.07,-2814.9500000000007
2021-03-05,28969.87,406.7999999999993
2021-03-12,29153.98,184.11000000000058
2021-03-19,28946.43,-207.54999999999927
2021-03-26,23782.28,-5164.1500000000015
2021-04-02,23405.48,-376.7999999999993
2021-04-09,22776.34,-629.1399999999994
2021-04-16,23176.47,400.130000000001
2021-04-23,21755.52,-1420.9500000000007
2021-04-30,22002.35,246.8299999999981
2021-05-07,22182.22,179.87000000000262
2021-05-14,22386.92,204.6999999999971
2021-05-21,22366.66,-20.2599999999984
2021-05-28,21623.96,-742.7000000000007
2021-06-04,21307.01,-316.9500000000007
2021-06-11,21982.53,675.5200000000004
2021-06-18,21084.77,-897.7599999999984
2021-06-25,21071.84,-12.930000000000291
2021-07-02,20713.34,-358.5
2021-07-09,20829.05,115.70999999999913
2021-07-16,20725.98,-103.06999999999971
2021-07-23,20789.04,63.06000000000131
2021-07-30,21255.41,466.369999999999
2021-08-06,22047.48,792.0699999999997
2021-08-13,22395.35,347.869999999999
2021-08-20,22795.54,400.1900000000023
2021-08-27,23499.48,703.9399999999987
2021-09-03,24087.74,588.260000000002
2021-09-10,23143.73,-944.010000000002
2021-09-17,22977.22,-166.5099999999984
2021-09-24,21798.79,-1178.4300000000003
2021-10-01,21387.52,-411.27000000000044
2021-10-08,21333.12,-54.400000000001455
2021-10-15,20827.93,-505.1899999999987
2021-10-22,21165.65,337.72000000000116
2021-10-29,21292.46,126.80999999999767
2021-11-05,22035.24,742.7800000000025
2021-11-12,22830.27,795.0299999999988
2021-11-19,22763.8,-66.47000000000116
2021-11-26,20580.41,-2183.3899999999994
2021-12-03,19453.13,-1127.2799999999988
2021-12-10,20010.21,557.0799999999981
2021-12-17,20437.86,427.65000000000146
2021-12-24,21016.38,578.5200000000004
2021-12-31,18434.65,-2581.7299999999996
2022-01-07,18868.89,434.23999999999796
2022-01-14,19379.65,510.76000000000204
2022-01-21,18946.52,-433.130000000001
2022-01-28,18628.87,-317.65000000000146
2022-02-04,18159.78,-469.09000000000015
2022-02-11,18932.73,772.9500000000007
2022-02-18,18901.63,-31.099999999998545
2022-02-25,17116.54,-1785.0900000000001
2022-03-04,17538.14,421.59999999999854
2022-03-11,16770.81,-767.3299999999981
2022-03-18,17472.26,701.4499999999971
2022-03-25,17687.44,215.1800000000003
2022-04-01,18482.57,795.130000000001
2022-04-08,19462.29,979.7200000000012
2022-04-15,20509.67,1047.3799999999974
2022-04-22,20681.45,171.78000000000247
2022-04-29,19579.92,-1101.5300000000025
2022-05-06,19406.65,-173.2699999999968
2022-05-13,17674.14,-1732.510000000002
2022-05-20,16262.56,-1411.58
2022-05-27,16143.31,-119.25
2022-06-03,17103.62,960.3099999999995
2022-06-10,15734.15,-1369.4699999999993
2022-06-17,15186.54,-547.6099999999988
2022-06-24,15341.19,154.64999999999964
2022-07-01,15272.72,-68.47000000000116
2022-07-08,14717.64,-555.0799999999999
2022-07-15,14364.15,-353.4899999999998
2022-07-22,14779.79,415.64000000000124
2022-07-29,14824.84,45.04999999999927
2022-08-05,15728.05,903.2099999999991
2022-08-12,16915.39,1187.3400000000001
2022-08-19,18156.59,1241.2000000000007
2022-08-26,18706.6,550.0099999999984
2022-09-02,18860.43,153.83000000000175
2022-09-09,20599.88,1739.4500000000007
2022-09-16,19773.5,-826.380000000001
2022-09-23,19055.55,-717.9500000000007
2022-09-30,17583.62,-1471.9300000000003
