date,value,change
2020-09-11,42695.85,
2020-09-18,42333.45,-362.40000000000146
2020-09-25,41889.99,-443.4599999999991
2020-10-02,42018.63,128.63999999999942
2020-10-09,42038.04,19.410000000003492
2020-10-16,44032.74,1994.699999999997
2020-10-23,44044.63,11.889999999999418
2020-10-30,43321.52,-723.1100000000006
2020-11-06,43592.87,271.3500000000058
2020-11-13,45862.97,2270.0999999999985
2020-11-20,46251.49,388.5199999999968
2020-11-27,46106.02,-145.47000000000116
2020-12-04,48639.7,2533.6800000000003
2020-12-11,48204.99,-434.7099999999991
2020-12-18,49346.3,1141.310000000005
2020-12-25,49295.49,-50.81000000000495
2021-01-01,49727.4,431.9100000000035
2021-01-08,49795.47,68.06999999999971
2021-01-15,49201.62,-593.8499999999985
2021-01-22,49184.99,-16.630000000004657
2021-01-29,52639.39,3454.4000000000015
2021-02-05,53167.71,528.3199999999997
2021-02-12,53484.27,316.5599999999977
2021-02-19,53231.3,-252.9699999999939
2021-02-26,52166.03,-1065.270000000004
2021-03-05,51322.72,-843.3099999999977
2021-03-12,51186.89,-135.83000000000175
2021-03-19,49981.16,-1205.729999999996
2021-03-26,46496.32,-3484.840000000004
2021-04-02,45846.8,-649.5199999999968
2021-04-09,45986.99,140.18999999999505
2021-04-16,46631.02,644.0299999999988
2021-04-23,46458.48,-172.5399999999936
2021-04-30,45547.6,-910.8800000000047
2021-05-07,46516.16,968.560000000005
2021-05-14,46352.53,-163.63000000000466
2021-05-21,46606.86,254.33000000000175
2021-05-28,46313.81,-293.0500000000029
2021-06-04,46074.11,-239.6999999999971
2021-06-11,46192.31,118.19999999999709
2021-06-18,45717.86,-474.4499999999971
2021-06-25,47366.89,1649.0299999999988
2021-07-02,46949.3,-417.5899999999965
2021-07-09,48009.97,1060.6699999999983
2021-07-16,48175.12,165.15000000000146
2021-07-23,48089.74,-85.38000000000466
2021-07-30,47821.64,-268.09999999999854
2021-08-06,47500.59,-321.0500000000029
2021-08-13,47423.52,-77.06999999999971
2021-08-20,47341.22,-82.29999999999563
2021-08-27,47576.33,235.11000000000058
2021-09-03,47575.45,-0.8800000000046566
2021-09-10,47465.38,-110.06999999999971
2021-09-17,46468.9,-996.4799999999959
2021-09-24,47424.98,956.0800000000017
2021-10-01,47134.29,-290.6900000000023
2021-10-08,46754.39,-379.90000000000146
2021-10-15,46203.43,-550.9599999999991
2021-10-22,45384.97,-818.4599999999991
2021-10-29,45708.06,323.0899999999965
2021-11-05,46519.33,811.2700000000041
2021-11-12,45188.48,-1330.8499999999985
2021-11-19,43879.95,-1308.530000000006
2021-11-26,42724.82,-1155.1299999999974
2021-12-03,41662.5,-1062.3199999999997
2021-12-10,41924.99,262.48999999999796
2021-12-17,40769.96,-1155.0299999999988
2021-12-24,40714.43,-55.529999999998836
2021-12-31,40483.72,-230.70999999999913
2022-01-07,39905.23,-578.489999999998
2022-01-14,40173.05,267.8199999999997
2022-01-21,40001.73,-171.3199999999997
2022-01-28,39636.98,-364.75
2022-02-04,39091.31,-545.6700000000055
2022-02-11,39282.69,191.38000000000466
2022-02-18,38753.85,-528.8400000000038
2022-02-25,38671.98,-81.86999999999534
2022-03-04,37179.41,-1492.5699999999997
2022-03-11,36776.32,-403.0900000000038
2022-03-18,36456.84,-319.4800000000032
2022-03-25,36739.74,282.90000000000146
2022-04-01,36870.9,131.1600000000035
2022-04-08,35979.34,-891.560000000005
2022-04-15,36121.48,142.1400000000067
2022-04-22,36026.58,-94.90000000000146
2022-04-29,35371.19,-655.3899999999994
2022-05-06,34525.18,-846.010000000002
2022-05-13,33536.42,-988.760000000002
2022-05-20,32971.11,-565.3099999999977
2022-05-27,32851.77,-119.34000000000378
2022-06-03,33031.62,179.85000000000582
2022-06-10,30919.13,-2112.4900000000016
2022-06-17,30635.35,-283.7800000000025
2022-06-24,31266.17,630.8199999999997
2022-07-01,30081.58,-1184.5899999999965
2022-07-08,29419.13,-662.4500000000007
2022-07-15,28589.69,-829.4400000000023
2022-07-22,29190.8,601.1100000000006
2022-07-29,29851.75,660.9500000000007
2022-08-05,31123.13,1271.380000000001
2022-08-12,31730.67,607.5399999999972
2022-08-19,30005.29,-1725.3799999999974
2022-08-26,30549.48,544.1899999999987
2022-09-02,30004.04,-545.4399999999987
2022-09-09,30360.91,356.869999999999
2022-09-16,29788.45,-572.4599999999991
2022-09-23,29396.24,-392.2099999999991
2022-09-30,28182.74,-1213.5
2022-10-07,27918.09,-264.65000000000146
2022-10-14,29013.51,1095.4199999999983
2022-10-21,28905.41,-108.09999999999854
2022-10-28,29595.01,689.5999999999985
2022-11-04,29713.96,118.95000000000073
2022-11-11,30275.02,561.0600000000013
2022-11-18,31146.34,871.3199999999997
2022-11-25,32143.09,996.75
2022-12-02,32882.01,738.9200000000019
2022-12-09,34968.63,2086.6199999999953
2022-12-16,34617.6,-351.02999999999884
2022-12-23,34437.06,-180.54000000000087
2022-12-30,34241.02,-196.04000000000087
2023-01-06,34222.11,-18.909999999996217
2023-01-13,34002.57,-219.54000000000087
2023-01-20,35993.15,1990.5800000000017
2023-01-27,36210.84,217.68999999999505
2023-02-03,36507.34,296.5
2023-02-10,35604.51,-902.8299999999945
2023-02-17,35211.07,-393.4400000000023
2023-02-24,35133.65,-77.41999999999825
2023-03-03,35357.81,224.15999999999622
2023-03-10,35685.53,327.72000000000116
2023-03-17,37638.13,1952.5999999999985
2023-03-24,37433.64,-204.48999999999796
2023-03-31,37300.3,-133.3399999999965
2023-04-07,36432.57,-867.7300000000032
2023-04-14,37652.32,1219.75
2023-04-21,36892.79,-759.5299999999988
2023-04-28,36982.76,89.97000000000116
2023-05-05,36578.68,-404.08000000000175
2023-05-12,37311.66,732.9800000000032
2023-05-19,33811.46,-3500.2000000000044
2023-05-26,33601.56,-209.90000000000146
2023-06-02,34823.56,1222.0
2023-06-09,35686.72,863.1600000000035
2023-06-16,36012.13,325.4099999999962
2023-06-23,35745.32,-266.8099999999977
