date,value,change
2020-09-11,4.06,
2020-09-18,-9.39,-13.45
2020-09-25,23.59,32.980000000000004
2020-10-02,-4.97,-28.56
2020-10-09,4.97,9.94
2020-10-16,-43.21,-48.18
2020-10-23,-44.16,-0.9499999999999957
2020-10-30,55.05,99.21
2020-11-06,-15.73,-70.78
2020-11-13,39.74,55.47
2020-11-20,92.46,52.71999999999999
2020-11-27,72.39,-20.069999999999993
2020-12-04,4.03,-68.36
2020-12-11,795.28,791.25
2020-12-18,42.5,-752.78
2020-12-25,-494.46,-536.96
2021-01-01,-49.92,444.53999999999996
2021-01-08,147.63,197.55
2021-01-15,269.78,122.14999999999998
2021-01-22,469.74,199.96000000000004
2021-01-29,29.77,-439.97
2021-02-05,564.06,534.29
2021-02-12,-532.76,-1096.82
2021-02-19,16.52,549.28
2021-02-26,-46.52,-63.040000000000006
2021-03-05,-25.94,20.580000000000002
2021-03-12,-425.69,-399.75
2021-03-19,-17.21,408.48
2021-03-26,7.62,24.830000000000002
2021-04-02,116.39,108.77
2021-04-09,-47.35,-163.74
2021-04-16,-326.06,-278.71
2021-04-23,-385.16,-59.10000000000002
2021-04-30,-449.16,-64.0
2021-05-07,-524.92,-75.75999999999993
2021-05-14,-15.82,509.09999999999997
2021-05-21,-236.93,-221.11
2021-05-28,-20.07,216.86
2021-06-04,-136.7,-116.63
2021-06-11,-73.71,62.989999999999995
2021-06-18,37.22,110.92999999999999
2021-06-25,83.57,46.349999999999994
2021-07-02,436.81,353.24
2021-07-09,-101.68,-538.49
2021-07-16,-347.69,-246.01
2021-07-23,-0.87,346.82
2021-07-30,-57.88,-57.010000000000005
2021-08-06,-6.5,51.38
2021-08-13,-78.23,-71.73
2021-08-20,-62.47,15.760000000000005
2021-08-27,-76.22,-13.75
2021-09-03,-43.11,33.11
2021-09-10,-120.33,-77.22
2021-09-17,298.68,419.01
2021-09-24,-442.61,-741.29
2021-10-01,-114.79,327.82
2021-10-08,-446.44,-331.65
2021-10-15,-63.16,383.28
2021-10-22,-186.83,-123.67000000000002
2021-10-29,-310.58,-123.74999999999997
2021-11-05,-522.86,-212.28000000000003
2021-11-12,-90.49,432.37
2021-11-19,-18.42,72.07
2021-11-26,-92.19,-73.77
2021-12-03,-108.67,-16.480000000000004
2021-12-10,-125.18,-16.510000000000005
2021-12-17,-11.67,113.51
2021-12-24,-41.04,-29.369999999999997
2021-12-31,-139.93,-98.89000000000001
2022-01-07,-65.7,74.23
2022-01-14,-231.79,-166.08999999999997
2022-01-21,-227.93,3.859999999999985
2022-01-28,-50.49,177.44
2022-02-04,-37.65,12.840000000000003
2022-02-11,27.91,65.56
2022-02-18,-76.73,-104.64
2022-02-25,-420.94,-344.21
2022-03-04,-81.28,339.65999999999997
2022-03-11,-69.78,11.5
2022-03-18,-367.48,-297.70000000000005
2022-03-25,-79.14,288.34000000000003
2022-04-01,-226.31,-147.17000000000002
2022-04-08,-71.43,154.88
2022-04-15,-52.02,19.410000000000004
2022-04-22,-366.33,-314.31
2022-04-29,21.2,387.53
2022-05-06,-296.97,-318.17
2022-05-13,-50.24,246.73000000000002
2022-05-20,-714.83,-664.59
2022-05-27,-38.63,676.2
2022-06-03,-305.1,-266.47
2022-06-10,-58.54,246.56000000000003
2022-06-17,-53.49,5.049999999999997
2022-06-24,-41.67,11.82
2022-07-01,-48.97,-7.299999999999997
2022-07-08,-45.68,3.289999999999999
2022-07-15,-4.61,41.07
2022-07-22,-15.86,-11.25
2022-07-29,-21.8,-5.940000000000001
2022-08-05,-54.18,-32.379999999999995
2022-08-12,-33.13,21.049999999999997
2022-08-19,-41.07,-7.939999999999998
2022-08-26,-16.84,24.23
2022-09-02,8.21,25.05
2022-09-09,20.67,12.46
2022-09-16,-613.65,-634.3199999999999
2022-09-23,-230.15,383.5
2022-09-30,-74.8,155.35000000000002
2022-10-07,-57.21,17.589999999999996
2022-10-14,-61.78,-4.57
2022-10-21,12.18,73.96000000000001
2022-10-28,-666.65,-678.8299999999999
2022-11-04,-396.77,269.88
2022-11-11,62.14,458.90999999999997
2022-11-18,-88.09,-150.23000000000002
2022-11-25,-0.51,87.58
2022-12-02,40.78,41.29
2022-12-09,-652.07,-692.85
2022-12-16,228.42,880.49
2022-12-23,-23.88,-252.29999999999998
2022-12-30,-8.45,15.43
2023-01-06,34.98,43.42999999999999
2023-01-13,-50.27,-85.25
2023-01-20,-490.45,-440.18
2023-01-27,-241.16,249.29
2023-02-03,353.59,594.75
2023-02-10,-62.28,-415.87
2023-02-17,-45.63,16.65
2023-02-24,75.66,121.28999999999999
2023-03-03,5.86,-69.8
2023-03-10,-35.14,-41.0
2023-03-17,-676.6,-641.46
2023-03-24,-24.89,651.71
2023-03-31,-245.71,-220.82
2023-04-07,-15.02,230.69
2023-04-14,-19.41,-4.390000000000001
2023-04-21,28.81,48.22
2023-04-28,-139.7,-168.51
2023-05-05,-8.71,130.98999999999998
2023-05-12,8.3,17.01
2023-05-19,-9.31,-17.61
2023-05-26,11.73,21.04
2023-06-02,-28.24,-39.97
2023-06-09,-16.61,11.629999999999999
2023-06-16,42.72,59.33
2023-06-23,6.01,-36.71
2023-06-30,18.22,12.209999999999999
2023-07-07,22.83,4.609999999999999
2023-07-14,2.61,-20.22
2023-07-21,-42.75,-45.36
2023-07-28,303.4,346.15
2023-08-04,58.44,-244.95999999999998
2023-08-11,-46.75,-105.19
2023-08-18,115.45,162.2
2023-08-25,54.71,-60.74
2023-09-01,-36.57,-91.28
2023-09-08,44.17,80.74000000000001
2023-09-15,755.05,710.88
2023-09-22,222.11,-532.9399999999999
2023-09-29,-363.76,-585.87
2023-10-06,-8.4,355.36
2023-10-13,226.64,235.04
2023-10-20,-50.94,-277.58
2023-10-27,-150.75,-99.81
2023-11-03,477.98,628.73
2023-11-10,44.71,-433.27000000000004
2023-11-17,298.38,253.67
2023-11-24,-21.1,-319.48
2023-12-01,284.54,305.64000000000004
2023-12-08,52.94,-231.60000000000002
2023-12-15,-112.49,-165.43
2023-12-22,2.44,114.92999999999999
2023-12-29,-113.35,-115.78999999999999
2024-01-05,20.71,134.06
2024-01-12,115.76,95.05000000000001
2024-01-19,953.18,837.42
2024-01-26,-362.56,-1315.74
2024-02-02,-51.4,311.16
2024-02-09,449.54,500.94
2024-02-16,67.39,-382.15000000000003
2024-02-23,-4.9,-72.29
2024-03-01,488.35,493.25
2024-03-08,-113.59,-601.94
2024-03-15,556.84,670.4300000000001
2024-03-22,354.55,-202.29000000000002
2024-03-29,-67.47,-422.02
2024-04-05,367.21,434.67999999999995
2024-04-12,-83.46,-450.66999999999996
2024-04-19,80.99,164.45
2024-04-26,-285.63,-366.62
2024-05-03,130.67,416.29999999999995
2024-05-10,-76.19,-206.85999999999999
2024-05-17,-84.18,-7.990000000000009
2024-05-24,597.94,682.1200000000001
2024-05-31,130.67,-467.2700000000001
2024-06-07,326.72,196.05000000000004
2024-06-14,447.92,121.19999999999999
2024-06-21,29.33,-418.59000000000003
2024-06-28,633.3,603.9699999999999
2024-07-05,-688.63,-1321.9299999999998
2024-07-12,105.28,793.91
2024-07-19,-41.64,-146.92000000000002
