date,value,change
2020-09-11,-4.0,
2020-09-18,-98.98,-94.98
2020-09-25,-163.43,-64.45
2020-10-02,-70.04,93.39
2020-10-09,-17.03,53.010000000000005
2020-10-16,2072.03,2089.0600000000004
2020-10-23,-74.86,-2146.8900000000003
2020-10-30,-82.55,-7.689999999999998
2020-11-06,-106.63,-24.08
2020-11-13,-94.22,12.409999999999997
2020-11-20,-28.1,66.12
2020-11-27,5.19,33.29
2020-12-04,2018.8,2013.61
2020-12-11,43.96,-1974.84
2020-12-18,56.32,12.36
2020-12-25,23.67,-32.65
2021-01-01,-11.75,-35.42
2021-01-08,278.76,290.51
2021-01-15,-2.82,-281.58
2021-01-22,-136.17,-133.35
2021-01-29,3135.82,3271.9900000000002
2021-02-05,195.99,-2939.83
2021-02-12,304.52,108.52999999999997
2021-02-19,-15.1,-319.62
2021-02-26,-114.83,-99.73
2021-03-05,-135.05,-20.220000000000013
2021-03-12,-247.08,-112.03
2021-03-19,-1618.29,-1371.21
2021-03-26,-394.15,1224.1399999999999
2021-04-02,-1115.03,-720.88
2021-04-09,-236.59,878.4399999999999
2021-04-16,-204.54,32.05000000000001
2021-04-23,47.11,251.64999999999998
2021-04-30,-800.53,-847.64
2021-05-07,315.73,1116.26
2021-05-14,-11.16,-326.89000000000004
2021-05-21,13.87,25.03
2021-05-28,-155.75,-169.62
2021-06-04,-208.2,-52.44999999999999
2021-06-11,-833.3,-625.0999999999999
2021-06-18,14.27,847.5699999999999
2021-06-25,1623.45,1609.18
2021-07-02,-131.55,-1755.0
2021-07-09,1014.33,1145.88
2021-07-16,-266.1,-1280.43
2021-07-23,3.61,269.71000000000004
2021-07-30,-324.54,-328.15000000000003
2021-08-06,-84.49,240.05
2021-08-13,-194.32,-109.83
2021-08-20,-92.91,101.41
2021-08-27,-125.79,-32.88000000000001
2021-09-03,-68.29,57.5
2021-09-10,-78.0,-9.709999999999994
2021-09-17,-263.7,-185.7
2021-09-24,1750.32,2014.02
2021-10-01,-109.83,-1860.1499999999999
2021-10-08,-346.39,-236.56
2021-10-15,-304.82,41.56999999999999
2021-10-22,-350.25,-45.43000000000001
2021-10-29,-235.11,115.13999999999999
2021-11-05,-164.37,70.74000000000001
2021-11-12,-948.17,-783.8
2021-11-19,-546.19,401.9799999999999
2021-11-26,-382.67,163.52000000000004
2021-12-03,-501.77,-119.09999999999997
2021-12-10,-249.03,252.73999999999998
2021-12-17,-138.38,110.65
2021-12-24,-225.56,-87.18
2021-12-31,-294.02,-68.45999999999998
2022-01-07,-128.14,165.88
2022-01-14,-124.43,3.7099999999999795
2022-01-21,-388.07,-263.64
2022-01-28,-116.77,271.3
2022-02-04,-464.34,-347.57
2022-02-11,-19.05,445.28999999999996
2022-02-18,-237.33,-218.28
2022-02-25,597.05,834.38
2022-03-04,-361.89,-958.9399999999999
2022-03-11,-504.78,-142.89
2022-03-18,-980.58,-475.80000000000007
2022-03-25,400.98,1381.56
2022-04-01,-382.44,-783.4200000000001
2022-04-08,-234.72,147.72
2022-04-15,-20.61,214.11
2022-04-22,-202.29,-181.68
2022-04-29,-312.06,-109.77000000000001
2022-05-06,-203.98,108.08000000000001
2022-05-13,-209.34,-5.360000000000014
2022-05-20,-544.95,-335.61
2022-05-27,-519.56,25.3900000000001
2022-06-03,69.46,589.02
2022-06-10,-183.93,-253.39
2022-06-17,-186.03,-2.0999999999999943
2022-06-24,-172.52,13.509999999999991
2022-07-01,-291.31,-118.78999999999999
2022-07-08,-210.29,81.02000000000001
2022-07-15,-44.47,165.82
2022-07-22,-133.93,-89.46000000000001
2022-07-29,30.29,164.22
2022-08-05,209.91,179.62
2022-08-12,-61.38,-271.29
2022-08-19,-132.58,-71.20000000000002
2022-08-26,-61.45,71.13000000000001
2022-09-02,-130.02,-68.57000000000001
2022-09-09,-250.04,-120.01999999999998
2022-09-16,137.49,387.53
2022-09-23,-75.78,-213.27
2022-09-30,-1100.86,-1025.08
2022-10-07,-108.3,992.56
2022-10-14,1255.93,1364.23
2022-10-21,-156.93,-1412.8600000000001
2022-10-28,-282.54,-125.61000000000001
2022-11-04,-136.82,145.72000000000003
2022-11-11,-327.14,-190.32
2022-11-18,1188.81,1515.9499999999998
2022-11-25,143.03,-1045.78
2022-12-02,193.09,50.06
2022-12-09,2073.35,1880.26
2022-12-16,-185.39,-2258.74
2022-12-23,-135.26,50.129999999999995
2022-12-30,-34.03,101.22999999999999
2023-01-06,-60.01,-25.979999999999997
2023-01-13,-41.7,18.309999999999995
2023-01-20,2130.3,2172.0
2023-01-27,116.13,-2014.17
2023-02-03,-35.79,-151.92
2023-02-10,-139.92,-104.13
2023-02-17,63.2,203.12
2023-02-24,-136.54,-199.74
2023-03-03,-112.07,24.47
2023-03-10,-173.73,-61.66
2023-03-17,1372.8,1546.53
2023-03-24,-582.5,-1955.3
2023-03-31,159.98,742.48
2023-04-07,-632.75,-792.73
2023-04-14,981.61,1614.3600000000001
2023-04-21,-172.35,-1153.96
2023-04-28,-310.06,-137.71
2023-05-05,-173.62,136.44
2023-05-12,-182.7,-9.079999999999984
2023-05-19,-170.56,12.139999999999986
2023-05-26,-402.17,-231.61
2023-06-02,-184.6,217.57000000000002
2023-06-09,302.97,487.57000000000005
2023-06-16,-23.35,-326.32000000000005
2023-06-23,210.52,233.87
2023-06-30,-3.26,-213.78
2023-07-07,52.39,55.65
2023-07-14,165.44,113.05
2023-07-21,-13.25,-178.69
2023-07-28,248.78,262.03
2023-08-04,767.87,519.09
2023-08-11,-50.37,-818.24
2023-08-18,-162.29,-111.91999999999999
2023-08-25,-22.81,139.48
2023-09-01,-125.86,-103.05
2023-09-08,-65.3,60.56
2023-09-15,7.42,72.72
2023-09-22,-53.97,-61.39
2023-09-29,57.14,111.11
2023-10-06,-139.61,-196.75
2023-10-13,-110.68,28.930000000000007
2023-10-20,-219.5,-108.82
2023-10-27,-194.13,25.370000000000005
2023-11-03,-61.88,132.25
2023-11-10,22.23,84.11
2023-11-17,2018.58,1996.35
2023-11-24,-6.55,-2025.1299999999999
2023-12-01,172.93,179.48000000000002
2023-12-08,581.85,408.92
2023-12-15,245.8,-336.05
2023-12-22,353.27,107.46999999999997
2023-12-29,-223.69,-576.96
2024-01-05,138.57,362.26
2024-01-12,21.79,-116.78
2024-01-19,115.8,94.00999999999999
2024-01-26,-164.58,-280.38
2024-02-02,-479.45,-314.87
2024-02-09,-94.68,384.77
2024-02-16,1627.12,1721.8
2024-02-23,-289.02,-1916.1399999999999
2024-03-01,-371.89,-82.87
2024-03-08,184.7,556.5899999999999
